filename,mask_source,mean_r,mean_g,mean_b,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,mean_entropy,internal_edge_density,eccentricity,solidity,efd_harm_1_amp,efd_harm_2_amp,efd_harm_3_amp,is_fallback
001018.jpg,full_rect,164.60671456352637,161.97419565687122,161.8635452679343,55.959565804686704,0.5873037991069306,0.0774165754825964,0.9925750444469368,2.980714319488877,0.0213942307692307,0.6907173233229681,1.0,0.0,0.0,0.0,1
001165.jpg,rembg_ai,169.1172754791002,156.52308712709208,142.97079358471396,41.33784967176172,0.2617036006859962,0.033838044361539,0.9420913717103638,4.526163454686264,0.0169801868420309,0.870015691778044,0.8326858612702813,1.1389293674867875,0.1004239473994831,0.1572528519022068,0
000030.jpg,rembg_ai,184.10625182801988,135.6023983620942,107.55438724773326,22.46373828375571,0.5001602550362734,0.0467627253388873,0.99651423915142,4.194858427500506,0.0384615384615384,0.9060741093546432,0.9291797613702842,1.1121747727396372,0.1851791795661069,0.0662607471206947,0
001321.jpg,rembg_ai,123.45721913950312,94.06239194992052,69.80588803223378,105.77061239012596,0.2288039060671208,0.0156777680801572,0.9811876877154792,4.840786664259833,0.0332027437749212,0.6412825284118749,0.9370520498069864,1.2943007648561702,0.0896372155507994,0.0488310758059606,0
000064.jpg,rembg_ai,124.00070934306147,79.79982049277628,52.06182576218188,28.6944352295396,0.3427312545935994,0.0209638488434602,0.9954538520328594,4.575217915112515,0.0460407076058947,0.9087531721543796,0.9673763399253597,1.101184083727648,0.1278745850002091,0.0594796471910036,0
000176.jpg,full_rect,183.83991910815035,174.21709265175718,163.7866494459928,102.84319659574469,0.2785367753167067,0.0670023836444159,0.9852728523294751,4.447285079588758,0.103096322479777,0.6605319010801051,1.0,0.0,0.0,0.0,1
001173.jpg,custom_otsu,143.54574652777777,103.47095734126984,76.15487351190477,153.39139786610133,0.2826279150823906,0.0255083568634018,0.9654714189458184,4.812340639641215,0.0566840277777777,0.7380478375233306,0.9117118339382017,1.2339137403554783,0.1778259465912189,0.1224558695790254,0
0000450.jpg,full_rect,101.8461218106996,90.1771572016461,82.01554238683127,89.49265743488296,0.208444602391844,0.017790733010826,0.9859392656041708,4.695274651476753,0.0365711934156378,0.6614382360614811,1.0,0.0,0.0,0.0,1
dog-1.jpg,rembg_ai,189.5335822975308,153.24262861601918,114.23727774371552,80.57510213890893,0.2057625647800905,0.0189947125862681,0.9859149954304964,4.809311254620846,0.0740761384538208,0.7392962061245256,0.9723879787349464,1.0216038675542674,0.1637411597322321,0.1092949308238008,0
001214.jpg,rembg_ai,147.34458469863966,109.5421693476318,108.6034653956906,106.39706414119676,0.1531931285205716,0.0140230774746389,0.9749207113180756,4.843222912047442,0.034604309403237,0.7522009848431501,0.9673184542235954,1.2010786169187284,0.2176533653139288,0.030564027463016,0
