filename,mask_source,mean_r,mean_g,mean_b,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,mean_entropy,internal_edge_density,eccentricity,solidity,efd_harm_1_amp,efd_harm_2_amp,efd_harm_3_amp,is_fallback
000441.jpg,rembg_ai,213.65799459226105,171.57904273931518,119.34753243507303,198.99438649947265,0.3293555705075863,0.1010369486931394,0.951593393380866,5.03581164996316,0.0963338710776851,0.4068928710019768,0.9438572748168677,1.391998381076093,0.054738451584266,0.0612301662545409,0
000062.jpg,rembg_ai,234.0381782735839,164.31134517491606,73.38836781111232,244.6011396490284,0.457847747403958,0.3098096892014189,0.9522034637527204,4.5056222499598375,0.0626123686775695,0.2970936430123469,0.8552565984112563,1.328432527454766,0.053336225301816,0.0584387320931357,0
000663.jpg,full_rect,201.5510886707435,176.76760540714517,162.72442710009656,64.55256054705744,0.7282550558093595,0.4342396776878154,0.99577444746533,1.8879603252085404,0.0125193112327003,0.6776501598740757,1.0,0.0,0.0,0.0,1
000090.jpg,rembg_ai,226.3742114780815,174.22139453988072,94.5978997466955,60.73148164538178,0.4995551059130047,0.3773210974583815,0.9853621846084966,4.895057700090067,0.1106416541812096,0.7496906557257378,0.7996462518902571,1.2214294371591856,0.0400041594928375,0.0428136475079755,0
000477.jpg,rembg_ai,235.41858050601363,164.00979876185409,101.89226524486868,58.44010927188143,0.4269723606712464,0.1556016337202206,0.9872176034759133,4.700181571138256,0.0815908611811,0.5395698066099633,0.9708119473993172,1.319212489012503,0.0154562795785585,0.0374411288075596,0
000706.jpg,rembg_ai,172.7028601455499,127.5881718121412,77.02222234778284,174.9434550440179,0.3515934750108102,0.1127246964228858,0.9759579307295232,5.132741483612121,0.0575645256068345,0.510006373954915,0.9812443452727868,1.334761779315625,0.0544084553735625,0.0184212928028402,0
000426.jpg,full_rect,199.72447907938104,163.11702698173286,134.15592145690184,226.70888413277945,0.4382490347123612,0.2949064993929668,0.976817260551525,3.355774525141016,0.0389922350706664,0.2937501620769057,1.0,0.0,0.0,0.0,1
000655.jpg,full_rect,207.4149775357386,169.32464329475837,137.01295847515317,55.55155701799207,0.7016981784565278,0.3835315985751427,0.99522023285072,2.0455001443958447,0.0091722260040844,0.4944067297887071,1.0,0.0,0.0,0.0,1
000232.jpg,full_rect,176.49152156420985,135.65907708400383,78.05593900869006,177.80614553840903,0.3166477062680075,0.0827066644245624,0.9814350044807948,4.4231782247166045,0.0754707112970711,0.6776501598740757,1.0,0.0,0.0,0.0,1
000650.jpg,rembg_ai,224.20304991012145,136.13079625077955,53.48888211232988,23.346225347360424,0.4693247742778766,0.2138668293806402,0.9952827879479962,3.9022155682913695,0.0138853222788803,0.6123908818166942,0.9464781131886616,1.2908990325338765,0.1602319899089366,0.061651862420561,0
000496.jpg,rembg_ai,193.05078492338845,136.21555680940548,82.52794551355159,107.66644950003204,0.3771327073468504,0.1403603132833636,0.9887096349735522,4.978237836891695,0.0924540910855272,0.7405416530102912,0.9840229785423282,1.2590105503384168,0.0270829421688192,0.0808784452249082,0
000458.jpg,rembg_ai,216.31800113571836,164.65297495110102,107.0677855595516,114.82187737201654,0.3935418443000867,0.2307983795693605,0.968825421069953,5.089409718667954,0.0576271899383767,0.8045273251571615,0.9685983910257724,1.1684221094283276,0.0737442437426924,0.0492230324570722,0
000407.jpg,rembg_ai,213.34387781330184,136.6397575746644,60.59422165503993,268.8338971115275,0.4127734521181999,0.2384387963933683,0.9670429189231894,4.517627844019603,0.0642769853760163,0.1517285436557608,0.9363675747305116,1.3865023370760023,0.1385807225543492,0.0549861309608968,0
000381.jpg,full_rect,232.96310876623377,204.0825027056277,178.91615800865802,171.95770006287535,0.5572991944687745,0.4548788260203983,0.9738556718306104,2.676169585174564,0.0457711038961038,0.2264366071256005,1.0,0.0,0.0,0.0,1
000119.jpg,rembg_ai,177.51453585775792,116.1453946064744,51.50186449532525,134.6104336085709,0.5126970229596155,0.4241784235530457,0.988328497889768,5.135863986929718,0.137450235088541,0.3926241497128437,0.7827436023935098,1.3587520415534466,0.0180239263583033,0.0061354656355096,0
0000110.jpg,rembg_ai,198.4113978433029,130.87877052036643,78.75428308200509,226.71257616154185,0.3668653053047533,0.2498260598073473,0.9726550251466042,5.0597787276779815,0.0770549007814327,0.4047231169999876,0.9516334786375512,1.346195817593564,0.0360902981063558,0.0123365593211654,0
000454.jpg,rembg_ai,200.87866559053,141.3855797686306,78.74138642274235,311.63578477443605,0.3828808431365451,0.2423920977194314,0.95226796035142,5.239554992695191,0.1548919379427854,0.460480599398801,0.95201357815152,1.35015083312575,0.0283469086833172,0.0534812406302806,0
000510.jpg,full_rect,97.60850937183385,67.16336056231003,46.28653368794326,79.56977987128481,0.4876398273175463,0.0829582475888394,0.9749657442916956,3.955639346702735,0.0392470871327254,0.7870612913577326,1.0,0.0,0.0,0.0,1
000390.jpg,rembg_ai,202.62546866398168,142.55864167125432,80.57558021615044,196.53487097697624,0.3371819290089981,0.1000234361174264,0.9731014656223292,5.210234038830217,0.1307797061976646,0.1224391408053547,0.9677218386933828,1.3807056894545011,0.0755497629154845,0.0357270763358084,0
000452.jpg,rembg_ai,223.93857481715756,155.83494446383736,93.63331307591694,69.76740555680315,0.4401756623753255,0.2693511809099836,0.985291312944544,4.5054771165633705,0.0614262342654548,0.3542456941802678,0.9726505169600616,1.3863241572194582,0.0283602652015101,0.023732567351105,0
000447.jpg,full_rect,248.9949698833782,240.80301112819856,231.24830193515317,73.52062941925269,0.8745632907469153,0.8568475575121124,0.9697672842136134,0.7473397534042402,0.0216396471442607,0.0,1.0,0.0,0.0,0.0,1
000018.jpg,rembg_ai,229.93272832573967,170.4256429759215,81.0194353096749,58.011830829238576,0.307495950067681,0.0318541596734969,0.9513213389557854,4.833544718506671,0.0271284013034756,0.3633611472574162,0.947618043595168,1.3585413492912015,0.0547338571187149,0.0295694347275796,0
000101.jpg,rembg_ai,215.5028635879441,157.13804123065356,96.35752240115296,109.72083731238398,0.4138738440008116,0.1638444848452873,0.979398629317744,4.8225735577846445,0.0958080080205526,0.534389399850796,0.980379240288124,1.30966948738163,0.0371671821363963,0.0472211482156077,0
